,Question,Answer
694,بعث الرسول محمد صلى الله عليه وسلم لدعوة؟, الناس جميعا
695,ماذا كانت عائشة رضي الله عنها بالنسبة إلى الرسول محمد صلى الله عليه وسلم؟, زوجته
696,من هي أُم الرسول صلى الله عليه وسلم؟, آمنة بنت وهب
697,من هو أمين سر الرسول صلى الله عليه وسلم؟, حذيفة بن اليمان رضي الله عنه
698,ما هي الغزوة التي جُرح فيها الرسول صلى الله عليه وسلم وشُجّ رأسه وكُسرت سنه؟, غزوة أحد
699,ما هي معجزة الرسول صلى الله عليه وسلم الخالدة؟, القرآن الكريم
700,ما هي السورة تعدل ثلث القرآن؟, سورة الإخلاص
701,فيمن نزلت هذه الآيات (وَسَيُجَنَّبُهَا الأَتْقَى الَّذِي يُؤْتِي مَالَهُ يَتَزَكَّى وَمَا لأَحَدٍ عِنْدَهُ مِنْ نِعْمَةٍ تُجْزَى إِلاَّ ابْتِغَاءَ وَجْهِ رَبِّهِ الأَعْلَى وَلَسَوْفَ يَرْضَى)؟, أبو بكر الصديق رضي الله عنه
702,سورة أمر الرسول صلى الله عليه وسلم أحد الصحابة بقراءتها قبل النوم لأنها براءة من الشرك .. فماهي؟, سورة الكافرون
703,من هما النبيان اللذان جاء ذكرهما في سورة واحدة في جزء عم؟, سيدنا إبراهيم وسيدنا موسى عليهما السلام
704,كم عدد السجدات الموجودة في جزء عم؟, سجدتان
705,أي من هذه الحيوانات ذكرت في جزء عم؟, الفيل
706,كم عدد سور جزء عم؟, 37 سورة
707,في أي سورة ذكرت هذه الآية (أَلَمْ يَجِدْكَ يَتِيمًا فَآوَىٰ (6))؟, سورة الضحى
708,كم عدد آيات سورة الكوثر؟, ثلاث آيات
709,سورة في جزء عم تنتهي بإسم سورة؟, سورة القدر
710,ما حكم الميم الساكنة في قوله تعالى (إليهم بهدية)؟, إخفاء شفوي
711,للميم الساكنة ثلاثة أحكام هي الإدغام، الإخفاء والإظهار؟, صح
712,ما حكم الميم الساكنة في قوله تعالى (إن كنتم صادقين)؟, الإظهار
713,تخفى الميم الساكنة إذا جاء بعدها حرف؟, الباء
714,ما حكم الميم الساكنة في الآية الكريمة (إن كنتم مؤمنين)؟, إدغام
715,إذا وقعت الميم المتحركة بعد الميم الساكنة وجب الإخفاء؟, خطأ
716,ما حكم الميم الساكنة في قوله تعالى (ذرأكم في الأرض)؟, الإظهار
717,إذا أتى بعد الميم الساكنة باء يكون حكم الميم إظهار؟, خطأ
718,ما هي حروف الإظهار في أحكام الميم الساكنة؟, جميع الحروف عادا الباء والميم
719,ما هي حروف الإدغام في أحكام الميم الساكنة؟, الميم
720,ما حكم النون الساكنة في (من ربهم)؟, إدغام بغير غنة
721,ما حكم التنوين في (سميعا بصيرا)؟, إقلاب
722,ما حكم النون المشددة في كلمة (جان)؟, غنة مقدارها حركتان
723,ما حكم النون الساكنة في (الدنيا)؟, إظهار مطلق
724,يجب إظهار النون الساكنة في كلمة (بنيان)؟, عبارة صحيحة
725,حروف الإدغام بغنة مجموعة في كلمة (يرملون)؟, خطأ
726,ما حكم التنوين في قوله تعالى (في جنة عالية)؟, إظهار
727,ما حكم النون في قوله تعالى (ألا إن أولياء الله لا خوف عليهم ولا هم يحزنزن)؟, غنة مقداراها حركتان
728,ماذا تمثل الحروف المجموعة في أوائل الكلمات الآتية: أخي هاك علما حازه غير خاسر؟, الإظهار
729,تقلب النون الساكنة والتنوين إلى ميم إذا جاء بعدها حرف؟, الباء
730,من هو مؤسس علم التجويد؟, الفراهيدي
731,ما حكم التنوين في قوله تعالى (وَإِنَّكَ لَعَلى خُلُقٍ عَظِيمٍ)؟, الإظهار
732,ما حكم المد في الآية الكريمة (وَلَا يُوثِقُ وَثَاقَهُ أَحَدٌ)؟, مد الصلة الكبرى
733,ما حكم اللام في لفظ الجلالة في قوله تعالى (أَلَيْسَ اللَّهُ بِأَحْكَمِ الْحَاكِمِينَ)؟, التفخيم
734,ما حكم النون الساكنة في قوله تعالى (أَيَحْسَبُ أَن لَّمْ يَرَهُ أَحَدٌ)؟, إدغام بدون غنة
735,ما حكم المد في الآية الكريمة (وَمَا أَدْرَاكَ مَا سَقَرُ)؟, مد منفصل
736,ما حكم التنوين في قوله تعالى (وَجَنَّاتٍ أَلْفَافًا)؟, إظهار
737,معنى الإظهار الحلقي اصطلاحا هو البيان والوضوح؟, خطأ
738,ما هو سبب الإظهار؟, التباعد
739,ما حكم النون المشددة في كلمة عم؟, غنة مقدارها حركتين
