Question,Answer
س821- ماذا تعرف عن أم هانئ بنت أبي طالب الهاشمية؟,     اختلف في اسمها هل هو فاختة أم فاطمة وهند وعاتكة والأصح فاختة بنت أبي طالب 
س822- من الكذابان اللذان أدعيا النبوة ؟,     مسيلمة بن حبيب الكذاب باليمامة في بني حنيفة والأسود بن كعب العنسي بصنعاء
س823- ماذا تعرف عن رملة أم حبيــــــبة ؟,     أم المؤمنين، السيدة المحجبة، من بنات عم الرسول- صلى الله عليه وسلم- ، رملة 
س824- ماذا تعرف عن صفية بنت عبد المطلب ؟,     هى السيدة الجزلة الرزان التي كان يحسب لها الرجال ألف حساب هى الصحابية 
س825- ماذا تعرف عن صفية بنت حُييّ بن أخطب بن سعيد ؟,     أم المؤمنين من ذرية نبي الله هارون عليه السلام من سبط اللاوي بن يعقوب - 
س826- ماذا تعرف عن حفصة بنت عمر بن الخطاب ؟,     السيدة حفصة بنت عمر بن الخطاب -رضي الله عنهما- ، ولدت قبل المبعث بخمسة 
س827- ما أسماء أبواب جهنم السبعة ؟,     الباب الأول يسمى جهنم الباب الثاني ويسمى لظــى الباب الثالث يقال له سقر 
س828- ماذا تعرف عن فرش وغشاوة وأرض النار ؟,     فرشها من حديد.. والشوك وغشاوتها الظلمة وأرضها نحاس ورصاص وزجاج أوقد عليها 
س829- متى كانت غزوة الطائف ؟,     في سنة ثمان
س830- ما هو مفتاح الجنه ؟,     إن كلـــمة التوحيد هي عنوان الدخول في الإسلام وهى مفتاح الجنة ، وقد جعلها 
س831- من هو السفير بين الله وبين أنبيائه عليهم السلام ؟,     هو جبريل عليه السلام
س832- متى كانت غزوة حنين ؟,     في سنة ثمان ، بعد الفتح
س833- لماذا تم اختيار دار الأرقم بالذات لتعليم المسلمين أمور دينهم؟,     كانت هذه الدار في أصل الصفا ، بعيدة عن أعين الطغاة ومجالسهم، فاختارها رسول 
س834- متى كان فتح مكة ؟,     سنة ثمان شهر رمضان
س835- متى كانت غزوة مؤتة ؟,     سنة ثمان في جمادى الأولى
س836- متى كانت عمرة القضاء ؟,     في ذي القعدة سنة سبع
س837- متى كان صلح الحديبية ؟,     في آخر سنة ست
س838- متى كانت حادثة الإفك ؟ وفي إي غزوة ؟,     في سنة ست في غزوة المصطلق
س839- متى كانت غزوة بني قريظة ؟,     في سنة خمس
س840- من هم الأنبياء المذكورين في القرآن؟ ,     25 نبيا وهم: محمد- آدم- إبراهيم- إسماعيل- الياس- إدريس- أيوب- عيسى- 
س841- متى كانت غزوة دومة الجندل ؟,     في شهر ربيع الأول سنة خمس
س842- بماذا لقب بعض الأنبياء؟,     آدم ( أبو البشرية ) إدريس ( اخنوج) نوح ( شيخ المرسلين) هود ( عابر) إبراهيم 
س843- ماهي عجائب الصدقة ؟,     سبب في شفاء الأمراض- تظل صاحبها يوم القيامة - تطفيء غضب الرب - محبة الله 
س844- كيف إن العبد ليعمل الذنب يدخل به الجنة؟,     يعمل الذنب فلا يزال نصب عينيه خائفا منه مشفقا وجلا باكيا نادما مستحيا من 
س845- كيف إن العبد ليعمل الحسنة يدخل بها النار؟ ,     ويفعل الحسنة فلا يزال يمن بها على ربه ويتكبر بها ويرى نفسه ويعجب بها 
س846- ماذا كان يلقب علي بن ابي طالب سلمان الفارسى رضى الله عنهما ؟,     لقمان الحكيم.
س847- كم نوع لذكر الله تعالى ؟,     ذكر الله على سبعة أنواع : ذكر العينين البكاء ذكر الأذنين الإصغاء ذكر 
س848- لماذا حدد الله مواعيد الصلاة في وقتها ؟,     قال النبي صلى الله عليه وسلم : صلاة الظهر فإنها الساعة التي تسعر فيها جهنم 
س849- ماالفرق بين القضاء والقدر؟,     في القران الكريم قوله تعالى : ( قضي الأمر ) يونس41 وقال تعالى : ( والله 
س850- متى كانت غزوة الخندق ؟,     في شوال سنة خمس
س851- متى كانت غزوة يدر الآخرة ؟,     في شعبان سنة أربع
س852- متى كانت غزوة ذات الرقاع ؟,     في السنة الرابعة
س853- متي تم إجلاء بني النضير ؟,     في السنة الرابعة
س854- كيف تحمي نفسك؟,     آية الكرسي - آخر آيتين من سورة البقرة - الإخلاص والمعوذتين - قول : لا حول 
س855- ما هى وسائل الوقاية من الهموم والأحزان؟,"     قل"" اللهم إني أعوذ بك من الهم والحزن وأعوذ بك من العجز والكسل وأعوذ بك من "
س856- ما هى وسائل الوقاية من الوسواس؟,     الإستعاذه بالله من الشيطان ووسوسته.وقراءة سورة الناس والفلق.وذكر الله فهو 
س857- ما هى وسائل الوقاية من العين؟,"     قراءة سورة الإخلاص والمعوذتين و آية الكرسي وفاتحة الكتاب.وقول ""أعوذ بكلمات "
س858- ما هى وسائل الوقاية من السحر؟,     قراءة سورة الإخلاص والمعوذتين.والتحصن بالأذكار والتعويذات المأثورة.قال 
س859- ما هى وسائل الوقاية من الجن؟,"     قراءة آية الكرسي.وقول” بسم الله""عند كل عمل.وقول ""أعوذ بكلمات الله التامات "
س860- ما هى وسائل الوقاية من الشياطين؟,     المحافظة علي جميع الفرائض والواجبات والابتعاد عن جميع المحرمات والتوبة من 
س861- على ماذا بايع الأثنى عشر رجلاً في بيعة العقبة الأولى الرسول صلى الله ,     عليه وسلم ؟
س862- ما الآبة التى نزلت في ذي نواس وجُنده ؟,     ج- قال تعالى ( قُتِلَ أَصْحَابُ الأُخدُود * النِّارِ ذَاتِ الْوَقُود * إذْ 
س863- ما هى الآية التى نزلت في أبي لهب وامرأته أم جميل؟ ,     قال تعالى : ( تَبَّتْ يَدَا أبي لَهبٍ وَتَبَّ * مَا أَغْنَى عَنْهُ مَا 
س864- ما سبب نزول آيــة الكرســي؟,     سأل بني إسرائيل رسولهم موسي هـــل ينام ربك؟ فقال موسى ... اتقوا الله! 
س865- ماهى آداب تلاوة القرآن الكريم؟,     يتمثل في الطهارة ، والتلاوة بأدب ، وطمأنينة ، وبصوت حزين ، ومسموع ، مع 
س866- ماهى الظلمات الثلاث؟,     ظلمة الأغشية التي تحيط بالجنين وهي : غشاء الأمنيون ، والغشاء المشيمي ، 
س867- ماهىفائدة قراءة القرآن ؟,     تورث الخشية وتلين القلب وتورث السكينة .تورث اليقين الذي هو الأيمان كله 
س868- ماهي آيات الحج في القرآن الكريم؟,     قال تعالى: ( إن أول بيت وضع للناس للذي ببكة مباركا وهدى للعالمين. فيه آيات 
س869- على من تجب فريضة الحج ؟,     فريضة الحج ، فإنه لايجب على أحد إلا بشروط خمسة ذكرها العلماء : الأول : 
س870- ما هى أركان الحج ؟ ,     الإحرام 0 الطواف 0السعي بين الصفا والمروة 0الوقوف بعرفة 0وهناك خلاف بين 
س871- ما هى خطوات العمرة؟,     الإحرام - الطواف - الصلاة عند المقام - السعي - حلق الشعر أو تقصيره بعد 
س872- ما هي الأوقات التي يستجاب فيها الدعاء ؟,     جوف الليل .دُبر كل صلاة .بين الآذان والإقامة . الثلث الأخير من الليل . عند 
س873- ماهى الأضحية وحكمها وفضلها ؟,     تعريفها: هي الشاة التي تذبح بعد صلاة عيد الأضحى تقرباً إلى الله تعالى 
س874- ماهو وقت الذبح وأفضل تقسيم للأضحية ؟,     وقت الذبح: بعد صلاة عيد الأضحى ويستمر إلى عصر اليوم الرابع من أيام العيد 
س875- هل تعلم ما هو جزاء من يتوفى له ثلاثة أو اثنين من الولد ويصبر على ذلك ,     ؟
س876- ماهى أنواع النسك ؟,     الأنساك ثلاثة : يجب على كل من أراد الحج أن يختار أحد هذه الأنساك الثلاثة 
س877- لمن أرسل الرسول صلى الله عليه وسلم كتباً يدعوهم إلى الإسلام ؟,     كسرى ملك الفرس وهرقل ملك الروم والمقوقس عظيم القبط بمصر .
س878- من النفر الذين كانوا يؤذون رسول الله صلى الله عليه وسلم في بيته ؟,     أبا لهب والحكم بن أبي العاص ، وعقبة بن أبي معيط ، وعدي بن حمراء الثقفي ، 
س879- متى كانت عمرة رسول الله من الجعرانه ؟,     سنة ثمان .
س880- متى كانت غزوة تبوك ؟,     في السنة التاسعة .
882ـ لماذا سميت عرفات بهذا الاسم لأن آدم وحواء تعارفا عليه ولأن الناس ,     يعترفون بذنوبهم عليه وأيضاً لأن الحجيج يتعارفوا عليه .
883ـ من هو النبي الذي يكنى بأبا الضيفان ؟,     ابراهيم عليه السلام .
884ـ ما الإسم الآخر لغزوة المصطلق ؟,     غزوة المريسيع .
885ـ كم عدد أبواب الجنة ؟,     8 أبواب .
886ـ من هو الصحابي الذي أرسله الرسول صلى الله عليه وسلم إلى كسرى ؟,     عبد الله بن حذافة .
887ـ لماذا سميت أيام التشريق بهذا الاسم ؟,     لأن اللحوم تشرق فيها أي كانت تنشف على الحجر لعدم وجود وسائل تبريد وهي 
888ـ من أول من أختتن وضاف الضيف ؟,     سيدنا إبراهيم عليه السلام .
889ـ ما اسم والد خالد بن الوليد ؟,     الوليد بن الم
890ـ من أول من ألف في الفقه الإسلامي ؟,مالك بن انس الذي له الموطأ
891ـ إلى أي قوم أرسل النبي يونس ؟,نينوى
892ـ من أول من بنى مآذنة للحرم المكي الشريف ؟,أبو جعفر المنصور .
893ـ من أول من سجد لله بعد الرسول صلى الله عليه وسلم ؟,خديجة بنت خويلد رضي الله عنها .
894ـ من أول قاضي في الإسلام ؟,عمر بن الخطاب
895ـ لمن كتاب : أسد الغابة في معرفة الصحابة ؟,أبي الحسن عز الدين الجزري ( ابن الأثير ) .
896ـ من أوجد التجنيد الإجباري ؟,الحجاج بن يوسف الثقفي .
897ـ من أول مسلم دخل مكة ملبياً ؟,ثمامة بن أثال ( ملك اليمامة ) .
898ـ من أول من سمي أبو الشهداء ؟,الحسين بن علي
899ـ ما معنى الأحقاف ؟,جمع حقف وهو تلال من الرمل وكان يسكنها قوم عاد .
900ـ ماذا يسمى هواء الجنة ؟,سجسج أي معتدل
901ـ من أول من حفظ القرآن عن ظهر قلب بعد محمد صلى الله عليه وسلم ؟,علي بن أبي طالب رضي الله عنه .
902ـ من أول من اتخذ جهاز شرطة في الإسلام ؟ وجعل لها جهازا مستقلا لحفظ الأمن ؟,عثمان بن عفان .
903ـ ما أول ما يتكلم من الانسان يوم القيامة ويشهد عليه ؟,فخذه وكفاه .
904ـ ما هي أسماء سورة النازعات ؟,الساهرة والطامة .
905ـ من أول من جاهد في سبيل الله .,أدريس عليه السلام .
906ـ من أول من جز شاربه ؟,إبراهيم عليه السلام .
907ـ كم صام النبي صلى الله عليه وسلم ؟ ,تسع مرات
908ـ كم المدة التي قضاها المسلمون في حفر الخندق حول المدينة المنورة في غزوة الأحزاب ؟,15 يوماً .
909ـ ما الأعمال التي يجري ثوابها للإنسان بعد موته ؟,الصدقة الجارية ، ودعاء الولد الصالح ، العلم المنتفع به .
910ـ كم تعادل الصلاة في المسجد الأقصى ؟,500 صلاة
911ـ كم تعادل الصلاة في المسجد النبوي ؟,ألف صلاة .
912ـ كم تعادل الصلاة في المسجد الحرام ؟,مائة ألف صلاة
913ـ ما هي كتب الصحاح الستة ؟,صحيح البخاري ، صحيح مسلم ، سنن الترمذي ، سنن النسائي ، سنن ابن داود ، سنن ابن ماجه .
914ـ من أول من أجرى الأرزاق على القراء وقوامي المساجد ؟,الوليد بن عبد الملك .
915ـ من أول من صنف كتاباً في الأحاديث الصحيحة ؟,محمد بن اسماعيل بن ابراهيم بن المغيرة الجعفي الولاء البخاري .
916ـ ما هو يوم الحج الأكبر ؟,يوم النحر .
917ـ ماهي أطول كلمة في القرآن الكريم ؟,فأسقيناكموه
918ـ ماهي السورة التي نزلت في يهود بن النضير؟,الحشر
919ـ ماهي السورة التي فيها اسم يوسف غير سورة يوسف ؟,غافر .
920ـ من أول من توفيت من بنات الرسول صلى الله عليه وسلم ؟,رقية
921ـ كم عدد أحاديث البخاري ؟,7563حديث .
922ـ كم عدد كلمات القرآن الكريم ؟,79000 كلمة
923ـ كم عدد أحرف القرآن الكريم ؟,323670
924ـ كم دامت خلافة أبو بكر الصديق رضي الله عنه ؟,سنتان وثلاثة أشهر
925ـ من هو الصحابي الذي لقبه الرسول صلى الله عليه وسلم بالشهيد الحي ؟,طلحة بن عبيد الله رضي الله عنه .
926ـ من الذي قال عنه الرسول صلى الله عليه وسلم ( ويل أمه مسعر حرب لو كان معه رجال ) ؟,أبو بصير عتبة بن أسيد .
927ـ من هو الصحابي الجليل الذي بايع الرسول صلى الله عليه وسلم أن لا يسأل الناس شيئاً ؟,ثوبان مولى الرسول صلى الله عليه وسلم
928ـ من الصحابي الذي أمره الرسول صلى الله عليه وسلم بتعلم لغة اليهود ؟,زيد بن ثابت وقد تعلمها في 15 يوم .
929ـ من الصحابي الذي ولد في بطن الكعبة ؟,حكيم بن حزام .
930ـ من كان دليل الرسول صلى الله عليه وسلم في الهجرة من مكة للمدينة ؟,عبد الله بن أريقط
931ـ من هو الوحيد الذي جاءت كنيته في القرآن الكريم ؟,أبو لهب .
932ـ ما الاسم الثاني لبئر زمزم ؟,بئر اسماعيل
933ـ ما اسم امرأة العزيز ؟,راعيل ولقبها زليخا
934ـ من هو الصحابي الذي لقب بالشهيد الأعرج ؟,عمرو بن الجموح .
935ـ من أول ولي عهد في الإسلام ؟,يزيد بن معاوية بن أبي سفيان .
936ـ من هو حِبُ الرسول صلى الله عليه وسلم ؟,أسامة بن زيد رضي الله عنه .
937ـ ما هي الكلمة التي تعتبر منصفة للقرآن ؟,""" وليتلطف "" من سورة الكهف .. أي تكون في النصف حين ننصف القرآن نصفين ."
938ـ من أول امرأة طبق عليها حد السرقة في الإسلام ؟,قلابة بنت سفيان المخزومية .
939ـ من أول امرأة طبق عليها حد القذف في الإسلام ؟,حمنة بنت جحش .
940ـ من أول ممرضة في الإسلام ؟,رفيدة بنت سعد الأسلمية
941ـ اين جمعت رقاع القرآن الكريم ؟,عند حفصة زوجة الرسول صلى الله عليه وسلم .
942ـ من أول ملكة في الإسلام ؟,شجرة الدر .
943ـ من أول من أضاء المساجد ؟,تميم بن أوس الداري .
944ـ من أول من شرب من ماء زمزم ؟,إسماعيل عليه السلام .
945ـ من أول من اشتهر بالكتابة في الإسلام من الصحابة ؟,عمر ـ عثمان ـ علي ـ ابي بكربن كعب ـ زيد بن ثابت
946ـ من أول من حيا الرسول صلى الله عليه وسلم بتحية الإسلام ؟,أبو ذر الغفاري رضي الله عنه .
947ـ من التي أشارت على الرسول صلى الله عليه وسلم بأن يحلف يوم حديبية ؟,أم المؤمنين أم سلمه رضي الله عنها .
948ـ من أول من ارتد عن الإسلام ؟,الأسود العنسي الذي ادعى النبوة .
949ـ من أول من سن أضحية ؟,ابراهيم الخليل عليه السلام .
950ـ من أول من اسلم من الفرس ؟,سلمان الفارسي
951ـ من أول من اسلم من الروم ؟,صهيب بن سنان الرومي
952ـ ما اول شيء ينتن من الإنسان إذا مات ؟,بطنه .
953ـ ما أول شيء يأكله أهل الجنة إذا دخلوها ؟,كبد الحوت .
954ـ من أول فلكي كبير في الإسلام ؟,محمد بن إبراهيم الفزاري .
955ـ من أول من جمع الناس لقيام رمضان ؟,عمر بن الخطاب
956ـ من أول مسلمة قتلت يهودياً ؟,صفية بنت عبد المطلب في غزوة الخندق .
957ـ من أول من يدخل الجنة بعد الرسول صلى الله عليه وسلم ؟,أبو بكر الصديق .
958ـ من أول من ختم القرآن في ركعة ؟,عثمان بن عفان رضي الله عنه .
959ـ من أول من أسرج السراج في المسجد ؟,تميم بن أوس رضي الله عنه .
960ـ اين عقد أول مؤتمر إسلامي ومتى ؟,في المغرب عام 1969م
961ـ من أول من كسا الكعبة بالديباج ؟,عبد الله بن الزبير رضي الله عنه .
962ـ ممن كان أول خلع أثبته الإسلام ؟,من عامر بن الظرب وزوجته .
963ـ من أول من حكم أن الولد للفراش ؟,أكثم بن صيفي .
964ـ من أول من رجم في الزنا ؟ ,ربيعة بن حدار الأسدي .
965ـ من أول من خلع نعليه لدخول الكعبة ؟,الوليد بن المغيرة .. فخلع لذلك الناس في الإسلام .
966ـ من أول زوجة من زوجات الرسول صلى الله عليه وسلم توفيت بعد وفاته ؟,زينب بنت جحش رضي الله عنها .
967ـ من أول من كتب بسم الله الرحمن الرحيم ؟,سليمان بن داود .
968ـ يهودي ينسب له حصن أثري جنوب شرقي المدينة المنورة ؟ من هو ؟,كعب بن الأشرف وهو احد زعماء اليهود بالمدينة أمر النبي صلى الله عليه وسلم بقتله فقتل عام 2هـ .
969ـ ما أول ما بدئ به رسول الله صلى الله عليه وسلم من الوحي ؟,هو الرؤيا الصالحة .
970ـ كم عدد الحصى التي يجمعها الحاج الغير متعجل ؟,70
"971ـ من الصحابي الذي سمى بيته "" بيت الإسلام "" وولي الصدقات ؟",أبو عبدالله بن الأرقم .
972ـ في عهد أي خليفة ضرب أول درهم إسلامي ؟,علي بن أبي طالب رضي الله عنه .
973ـ لمن كتاب نهج البلاغة ؟,علي بن ابي طالب رضي الله عنه .
974ـ كم عدد مآذن الحرم المكي ؟,7
975ـ من أول من طبق منع التجول في الإسلام ؟,ابن ابيه .
"976ـ كلمة أي شاعر قال عنها النبي صلى الله عليه وسلم "" أصدق كلمة شاعر"" ؟","كلمة لبيد : "" ألا كل شيء ما خلا الله باطل وكل نعيم لا محالة زائل ."
977ـ من أول من دون الحديث ؟,ابن شهاب محمد الزهري
978ـ من المعروف بخطيب الأنبياء ؟,شعيب
979ـ من شيخ الإسلام ؟,تقي الدين أحمد بن تيمية .
980ـ من هي أول امرأة صنع لها نعش ؟,زينب بنت جحش زوج الرسول صلى الله عليه وسلم
"981ـ ما اسم الفرقة التي أثارت مسألة "" خلق القرآن ""؟",المعتزلة
"982ـ من هو العالم الذي رفض القول بـ "" خلق القرآن "" ؟",الإمام احمد بن حنبل
984ـ من هما المرأتان اللتان جعلهما الله مثالاً للإيمان ؟,امرأة فرعون ومريم عليهما السلام
985ـ من اعتبر إمام المؤذنين إلى قيام الساعة ؟,بلال بن رباح رضي الله عنه
"986ـ من عنى النبي صلى الله عليه وسلم حين قال عنه : "" إن ساقيه أثقل يوم القيامة من جبل أحد ؟",الصحابي عبدالله بن مسعود رضي الله عنه
987ـ في كفالة من كانت مريم عليها السلام ؟,في كفالة زكريا عليه السلام
988ـ من أي بطريق تسلم عمر بن الخطاب القدس ؟,من البطريق سفرونيوس
989ـ من هي النصرانية التي أسلمت ثم تزوجها النبي صلى الله عليه وسلم؟,مارية القبطية
990ـ من هما المرأتان اللتان جعلهما الله مثالاً للكفر ؟,زوجة نوح وامرأة لوط
"992ـ من هو الخليفة العباسي الذي شيد "" دار الشجرة "" ؟",المقتدر
993ـ كم يبلغ ارتفاع كل منارة من منارات المسجد الحرام ؟,تسعون متراً
994ـ من هم العبادلة الأربعة ؟,ابن عمر ، ابن الزبير ، ابن عباس ، وابن عمرو بن العاص
995ـ من هو الذي نزلت الملائكة على صورته ؟,الزبير بن العوام رضي الله عنه
996ـ ما اسم الشهيد المصلوب ؟,حبيب بن عدي الأنصاري رضي الله عنه
997ـ ما هي أبرز الأسماء التي وردت في القرآن الكريم لـ النار؟,جهنم ـ الحطمة ـ لظى ـ سقر ـ الهاوية ـ السعير
998ـ كم من السنين مكث أهل الكهف نياماً ؟,309 ثلاثمائة وتسع سنوات
999ـ من هم الداخلون الأوائل إلى الجنة في الإسلام ؟,فقراء المهاجرين
1000ـ ما هي الآية التي نزلت في جوف الكعبة ؟,""" إن الله يأمركم أن تؤدوا الأمانات إلى أهلها ""."
كم عدد سور القرآن الكريم؟, 114
في أي الأيام خلق سيدنا آدم عليه السلام؟, يوم الجمعة
كم عدد السنوات التي نام فيها أهل الكهف؟, 309 سنوات
اسم أول صحابي قرأ القرآن جهرة؟, عبد الله بن مسعود
من هي أخر زوجات النبي التي توفيت؟, السيدة أم سلمة
سورة قصيرة من قرأها ثلاثا فكأنما قرأ كل القرآن؟, سورة الإخلاص
كم مرة حج محمد رسول الله عليه الصلاة والسلام؟, مرة واحدة
ما هي غزوة الفرقان؟, غزوة بدر
ما هي السورة التي تسمى بقلب القرآن؟, سورة يس
في أي عام تم فرض فريضة الصيام؟, العام الثاني من الهجرة
كم كان عمر النبي محمد صلى الله عليه وسلم عندما توفيت أمه؟, 5 سنوات
ما هي أطول سورة في القرآن الكريم؟, سورة البقرة
ما هي أطول سورة في القرآن الكريم؟, سورة البقرة
ما هي أطول سورة في القرآن الكريم؟, سورة البقرة
الشهر الثالث في التقويم الهجري؟, ربيع الأول
ما السورة التي ختمت باسم وقت من أوقات الصلاة؟, سورة القدر
كم عدد التكبيرات في الركعة الأولى في صلاة العيد؟, سبعة
في أي جهة يقع باب الكعبة المشرفة؟, في الجهة الشرقية من الكعبة
كم عدد مصارف الزكاة؟, ثمانية
كم مرة ذكرت السيدة مريم في القرآن الكريم؟, 34 مرة
قال تعالى في سورة العاديات: ( فالمغيرات صبحا (3)) ماالمقصود بالمغيرات؟, الخيل
ما هي أعظم آية في القرآن الكريم؟, آية الكرسي
أحد هؤلاء الصحابة من العشرة المبشرين بالجنة؟, سعد بن أبي وقاص
في أي سنة هجرية كانت غزوة أحد؟, السنة الثالثة للهجرة
من هي النصرانية التي أسلمت ثم تزوجها النبي صلى الله عليه وسلم؟, مارية القبطية
من هو النبي الذي أرسل الى قوم ثمود؟, صالح
ما عدد أحزاب القرآن الكريم؟, 60 حزبا
قال تعالى في سورة المدثر: (والرجز فاهجر (5)) ما المقصود بالرجز؟, الأوثان
قال تعالى: (والصافات صفا * فالزاجرات زجرا) ما المقصود بالزاجرات؟, الملائكة
من هو الصحابي الذي كانت تستحي منه ملائكة السماء؟, عثمان بن عفان
ما اسم السورة التي تنتهي آياتها بحرف السين؟, الناس
كم عدد السور التي ابتدأت بالحروف المقطعة (الم), ستة سور
ما هو عدد حملة العرش يوم القيامة والمذكورين في القرآن الكريم؟, ثمانية
أين ذكرت الآية الكريمة: ( وما آتاكم الرسول فخذوه وما نهاكم عنه فانتهوا)؟, سورة الحشر
ما هي السورة التي يطلق عليها أم الكتاب؟, سورة الفاتحة
كم شخص اشترك في قتل ناقة النبي صالح عليه السلام؟, تسعة أشخاص
من الذي لقب الرسول الكريم بالطيب المطيب؟, عمار بن ياسر
في أي سورة وردت الآية: (يمحق الله الربا ويربي الصدقات والله لا يحب كل كفار أثيم)؟, البقرة
في أي سورة وردت الآية التالية (ولبثوا في كهفهم ثلاث مئة سنين وازدادوا تسعا)؟, سورة الكهف
من هو النبي الذي دعا ربه (توفني مسلما وألحقني بالصالحين)؟, يوسف عليه السلام
ما هي الرادفة؟, النفخة الثانية في البوق
السورة التي ابتدأت بالحرفين المقطعين (طس)؟, سورة النمل
ما هي السورة التي تسمى سورة التوديع؟, سورة النصر
الشهر الثامن في التقويم الهجري؟, شعبان
الشهر الثامن في التقويم الهجري؟, شعبان
كم عدد السور التي افتتحت بثلاثة أحرف؟, 13 سورة
كم عدد آيات سورة البقرة؟, 286 آية
كم عدد آيات سورة البقرة؟, 286 آية
من أسماء الخيل التي ذكرت في القرآن الكريم؟, العاديات
كم عدد القراءات الصحيحة للقرآن الكريم؟, 10 قراءات
كم مرة اعتمر النبي صلى الله عليه وسلم؟, أربع عمرات
ما اسم أخو يوسف عليه السلام من أمه وأبيه؟, بنيامين
قام أحدهم بمبادلة صاع من القمح الجيد بصاعين من القمح الرديء لشخص آخر ما حكم هذه المبادلة؟, ربا الفضل
في أي عام هجري وقعت غزوة خيبر؟, 7 هجري
كم عدد الأنبياء الذين ذكروا في سورة الأنبياء؟, 16 نبي
ما هو الاسم الذي يطلق على الزيادة في الدين نظير الأجل أو الزيادة فيه؟, ربا النسيئة
ما هو الاسم الذي يطلق على الزيادة في الدين نظير الأجل أو الزيادة فيه؟, ربا النسيئة
ما هي السورة التي لا تبدأ بالبسملة؟, التوبة
ما هي السورة التي لا تبدأ بالبسملة؟, التوبة
من أول من ألف في أحكام القرآن؟, الامام الشافعي
في أي سورة ذكرت قصة قابيل وهابيل؟, سورة المائدة
ما اسم الزوجة الثالثة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟, عائشة بنت أبي بكر الصديق
ما اسم الزوجة الثالثة بالترتيب التي تزوجها النبي صلى الله عليه وسلم؟, عائشة بنت أبي بكر الصديق
من من الخلفاء الراشدين كان الأكبر سنا عندما لقي ربه؟, عثمان بن عفان
من من الخلفاء الراشدين كان الأكبر سنا عندما لقي ربه؟, عثمان بن عفان
من أول من لقب بأمير المؤمنين؟, عمر بن الخطاب
يجب اخراج الزكاة من الذهب اذا كان يبلغ النصاب الشرعي وهو؟, 85 غراما
ماذا لقب ابراهيم عليه السلام؟, الخليل
أين وردت الآية الكريمة ( أقم الصلاة لدلوك الشمس إلى غسق الليل وقرآن الفجر إن قرآن الفجر كان مشهودا)؟, سورة الاسراء
من هو الصحابي الذي كان جبريل يأتي على هيئته؟, دحية الكلبي
من هو الصحابي الملقب بأبي تراب؟, علي بن أبي طالب
أول زوجات النبي صلى الله عليه وسلم لحوقا به بعد وفاته؟, زينب بنت جحش
كم كان عمر الرسول صلى الله عليه وسلم عندما بعث نبيا ورسولا للإسلام؟, أربعون عاما
ما هي السورة التي وردت فيها غزوة أحد وغزوة بدر؟, سورة آل عمران
ما هو العام الهجري الذي احتفل فيه المسلمين بعيد الفطر وعيد الأضحى المبارك؟, العام الثاني
ما هو العام الهجري الذي احتفل فيه المسلمين بعيد الفطر وعيد الأضحى المبارك؟, العام الثاني
ما هو أول الأيام التي خلقها الله تعالى؟, يوم الأحد
ما هي السورة الوحيدة في القرآن الكريم التي لا تحتوي على حرف الميم؟, سورة الكوثر
ما هي السورة الوحيدة في القرآن الكريم التي لا تحتوي على حرف الميم؟, سورة الكوثر
من هي آسيا؟, زوجة فرعون
من هي آسيا؟, زوجة فرعون
من هي آسيا؟, زوجة فرعون
ما هي أول صلاة صلاها الرسول صلى الله عليه وسلم؟, صلاة الظهر
كم مرة ذكر اسم الرسول محمد صلى الله عليه وسلم في القرآن؟, 4 مرات
من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
من هو النبي الذي آمن به جميع قومه؟, يونس عليه السلام
من هو أول صحابي حيّا الرسول صلى الله عليه وسلم بتحية الإسلام؟, أبو ذر الغفاري
من هو أول صحابي حيّا الرسول صلى الله عليه وسلم بتحية الإسلام؟, أبو ذر الغفاري
قال تعالى: (وزرابي مبثوثة) سورة الغاشية (16)، المقصود بـ(زرابي)؟, الطنافس 
أقسم الله عزوجل بالتين والزيتون كناية عن الأرض التي تزرع فيها ومهبط الرسالات السماوية وهي أرض؟, فلسطين
بدأت سورة الشعراء بعد البسملة بثلاثة حروف هي؟, طسم
اذا ضرب المسلم أخاه المسلم ونتج عن ذلك فقدانه للنطق فمقدار الدية التي يجب عليه دفعها في الشريعة الإسلامية هي؟, دية النفس كاملة
من قائد المسلمين في معركة القادسية؟, سعد بن أبي وقاص
الغزوة التي تسمى غزوة أوطاس أيضا هي غزوة؟, حنين
ما أكثر سورة تكرر فيها اسم الرحمن؟, سورة مريم
ما أكثر سورة تكرر فيها اسم الرحمن؟, سورة مريم
قرية أخبر الرسول صلى الله عليه وسلم أنها (آخر قرية من قرى الإسلام خرابا) فما هي؟, المدينة المنورة
من هي ثاني إمرأة دخلت الإسلام؟, أم الفضل زوجة العباس 
صحابي قال له النبي صلى الله عليه وسلم (أن الله مقمصمك قميصا فإن أرادك المنافقون على خلعه فلا تخلعه) فمن هو؟, عثمان بن عفان
كم ورد لفظ (لؤلؤ واللؤلؤ) في القرآن الكريم؟, ست مرات
اذا ضرب المسلم أخيه المسلم ونتج عن ذلك فقدان للبصر لأحدى عينيه فيجب عليه أن يسلم له؟, نصف الدية
